name,host_name,neighbourhood_group,neighbourhood,room_type,price,service_fee,minimum_nights,number_of_reviews,review_rate_number,availability_365
Amazing studio/Loft with a backyard,Kaveh,Manhattan,Upper East Side,Entire home/apt,918.0,184.0,3,28,3.0,90
Elevator 1 BR - Midtown West,Corporate Housing,Manhattan,Hell's Kitchen,Entire home/apt,907.0,181.0,30,7,4.0,90
3 Bed Private Room w/ Pvt Bathroom,Ny Moore Hostel,Brooklyn,Williamsburg,Private room,171.0,34.0,1,2,3.0,185
Private Garden View in Brownstone Near Subway,Brady,Brooklyn,Bedford-Stuyvesant,Private room,1006.0,201.0,1,291,5.0,251
æ›¼å“ˆé¡¿ä¸Šè¥¿åŒºæ¯”é‚»å“¥ä¼¦æ¯”äºšå¤§å­¦ä¸€å®¤ä¸€åŽ…å¯ä½2-3äººæ¸©é¦¨å°å±‹,Jingyi,Manhattan,Morningside Heights,Private room,999.0,200.0,1,0,5.0,130
Spacious brand new apartment 2 bedrooms - 2bath,Kalani,Queens,Glendale,Entire home/apt,1146.0,229.0,2,57,5.0,267
Cool palce âœŒâœŒâœŒ for 2 people,Alex,Manhattan,East Harlem,Private room,287.0,57.0,1,3,4.0,30
55 washington,Yoon,Brooklyn,DUMBO,Private room,1156.0,231.0,1,0,2.0,0
Spacious & Light 2 Bedroom Apartment,Josie,Brooklyn,Crown Heights,Entire home/apt,1128.0,226.0,2,2,3.0,0
Beautifully Renovated Brownstone Apt! #10264,Mimi,Brooklyn,Crown Heights,Entire home/apt,930.0,186.0,30,62,2.0,0
GREAT 1BR/2BA TERRACE & W/D! in EV!,Ralph,Manhattan,East Village,Entire home/apt,826.0,165.0,5,4,4.0,299
Private Bedroom and Bathroom in doorman building.,Max,Manhattan,Upper East Side,Private room,1048.0,210.0,1,0,4.0,0
Quiet mezzanine bedroom near Subway trains,Marc,Brooklyn,Sunset Park,Private room,616.0,123.0,30,60,5.0,365
Sunny apartment in the heart of trendy Greenpoint,Chris,Brooklyn,Greenpoint,Entire home/apt,1095.0,219.0,30,44,3.0,205
Bright Creative Environment,Tye,Brooklyn,Williamsburg,Private room,963.0,193.0,2,3,4.0,285
Loft Room in East Williamburg,Michole,Brooklyn,Williamsburg,Private room,1102.0,220.0,2,45,3.0,238
Central One Bedroom Manhattan Apt,Crystal,Manhattan,Harlem,Entire home/apt,514.0,103.0,2,11,5.0,333
Willimsburg Deluxe Studio,Madison,Brooklyn,Williamsburg,Entire home/apt,149.0,30.0,15,1,5.0,285
Bright and cosy apartment with private room,Wesley,Brooklyn,Bedford-Stuyvesant,Private room,186.0,37.0,1,7,4.0,0
A Contemporary Homelike Stay in the Best of BK,Mckinley,Brooklyn,East Flatbush,Entire home/apt,228.0,46.0,2,56,2.0,332
Huge 2x Bedroom Apt in Premium Upper West Side :),Sandra,Manhattan,Upper West Side,Entire home/apt,1119.0,224.0,3,4,3.0,304
"Clean, Cozy, and Spacious Brooklyn Row House",Chitra,Brooklyn,Cypress Hills,Private room,107.0,21.0,2,8,4.0,0
Cherry Hill House - Plum Room,Jessica,Staten Island,St. George,Private room,88.0,18.0,1,5,3.0,176
Cozy Elegant Room2..Free WiFi Walk To USB Arena,Mange,Queens,Queens Village,Private room,991.0,198.0,1,2,4.0,364
Spacious Contemporary NoMad Loft,Previn,Manhattan,Midtown,Entire home/apt,395.0,79.0,3,11,3.0,236
Cosy.,John,Brooklyn,East New York,Private room,250.0,50.0,3,18,3.0,79
Exposed Brick Bushwick Bedroom,Jordan,Brooklyn,Williamsburg,Private room,1153.0,231.0,2,6,2.0,0
Downtown warmth and charm,Jesper,Manhattan,Nolita,Entire home/apt,191.0,38.0,2,34,5.0,0
MANHATTAN MODERN NEAR CENTRAL PARK!,Peter,Manhattan,East Harlem,Private room,305.0,61.0,3,21,3.0,46
2 Bedroom 10 Minutes from JFK Airport 2nd Floor,Iwona,Queens,Jamaica,Entire home/apt,413.0,83.0,1,257,2.0,242
Spacious room w/ ensuite in heart of East Village,Josh,Manhattan,East Village,Private room,179.0,36.0,3,34,3.0,3
1 bedroom Apt 1 minute from the subway!,Izz,Manhattan,Lower East Side,Entire home/apt,1105.0,221.0,3,126,1.0,228
"Great for families! By Central park, Time Square & Dining",La Quinta Central Park,Manhattan,Upper West Side,Private room,1118.0,224.0,1,1,2.0,300
Manhattan Apartment Private Close to Subway,Jose L.,Manhattan,East Harlem,Entire home/apt,756.0,151.0,1,0,5.0,354
Duplex STUDIO With Sunset View,Alessandra,Manhattan,Greenwich Village,Entire home/apt,392.0,78.0,4,6,5.0,364
Pachecoâ€™s House.,Adrian,Brooklyn,Prospect-Lefferts Gardens,Private room,824.0,165.0,2,6,5.0,144
Great UWS apt with amazing terrace!,Paul,Manhattan,Upper West Side,Entire home/apt,54.0,11.0,28,0,5.0,365
Relaxing Stylish Room Near Train and Attractions 2,Jorge,Manhattan,Chelsea,Private room,850.0,170.0,5,0,2.0,79
Quiet short stay at condo,Adrian,Brooklyn,East New York,Private room,906.0,181.0,3,4,4.0,329
Full parlor floor in a Brooklyn brownstone,Timothy,Brooklyn,Crown Heights,Entire home/apt,843.0,169.0,3,7,2.0,0
LADIES ONLY! Privacy in a shared space :),J,Brooklyn,Bushwick,Shared room,933.0,187.0,1,117,2.0,118
Private BR in 3 BR Apartment,Kara,Manhattan,Lower East Side,Private room,533.0,107.0,1,5,4.0,0
Artist 1.5 bedroom WHOLE apartment!,Kathy,Manhattan,Gramercy,Entire home/apt,337.0,67.0,5,2,5.0,344
Sun-drenched and Spacious Studio,Sally,Brooklyn,Crown Heights,Entire home/apt,184.0,37.0,5,1,5.0,51
Mott Haven Dorm C,Orit,Bronx,Port Morris,Shared room,524.0,105.0,1,2,3.0,352
Contemporary themed Female twin room|Brooklyn,SharedEasy,Brooklyn,Bushwick,Shared room,257.0,51.0,30,1,4.0,334
A Cute and cozy two bedrooms apartment.,Ramon,Manhattan,Hell's Kitchen,Entire home/apt,1151.0,230.0,3,8,3.0,61
"Luxe 1-br Large Loft in Tribeca, Entire Apt",Anna,Manhattan,Tribeca,Entire home/apt,126.0,25.0,3,3,1.0,143
Sonder | Stock Exchange | Dreamy 1BR + Kitchen,Sonder (NYC),Manhattan,Financial District,Entire home/apt,1015.0,203.0,2,9,3.0,263
"Gorgeous Midtown East 1 Bed w/ Gym, Rooftop #6125",MyNyHousing,Manhattan,Murray Hill,Entire home/apt,468.0,94.0,30,7,2.0,248
Luxurious comfort in BK,Jared,Brooklyn,Greenpoint,Entire home/apt,228.0,46.0,1,4,5.0,0
New Apartment in Manhattan - New York City,David,Manhattan,Kips Bay,Entire home/apt,171.0,34.0,1,6,2.0,333
Bright Junior 1 bedroom Suite in the heart of NYC,Stanley,Manhattan,Murray Hill,Entire home/apt,220.0,44.0,30,1,5.0,365
"Perfectly located, vibrant studio!",Jonatan,Manhattan,Upper West Side,Entire home/apt,837.0,167.0,2,14,3.0,104
Studio 101 : your home away from home,Mary,Brooklyn,Clinton Hill,Entire home/apt,786.0,157.0,10,9,5.0,57
Beautiful Apt in UES,Laura,Manhattan,Upper East Side,Entire home/apt,158.0,32.0,3,3,1.0,0
Large Room in Queens,Berat,Queens,Rego Park,Private room,1186.0,237.0,1,74,2.0,358
Prime Williamsburg. Brand new,Daniel,Brooklyn,Williamsburg,Private room,662.0,132.0,3,179,2.0,100
"Newly Renovated, Unbeatable Location Private Room",Lydia,Brooklyn,Williamsburg,Private room,1088.0,218.0,30,0,5.0,338
Modern Studio Loft in Downtown NYC,Sumit,Manhattan,NoHo,Entire home/apt,633.0,127.0,1,28,3.0,225
Cozy and Sunny 2 bedroom apartment,Thiago,Manhattan,Harlem,Entire home/apt,1143.0,229.0,4,29,3.0,0
Large Room at a Three min Walk !,Keyur,Queens,Forest Hills,Private room,933.0,187.0,1,17,5.0,188
Sunlit Studio on UWS!,Amanda,Manhattan,Upper West Side,Entire home/apt,457.0,91.0,2,4,5.0,45
The Apollo,Anthony,Brooklyn,Greenpoint,Entire home/apt,779.0,156.0,2,31,4.0,0
Cozy Bedroom in Spacious Apt in East Williamsburg,Gregory,Brooklyn,Williamsburg,Private room,709.0,142.0,1,2,2.0,44
~*PLANT HAVEN*~ Private Room -Charming Garden Apt,Samantha,Brooklyn,Bedford-Stuyvesant,Private room,354.0,71.0,3,11,3.0,170
Brooklyn Bright Times,Linda,Brooklyn,Flatbush,Private room,930.0,186.0,1,12,1.0,90
Private Bathroom & Communal Cat in Large Sunny Apt,Kung,Brooklyn,Williamsburg,Private room,402.0,80.0,3,69,5.0,56
QUIET ROOM IN  A BIG NOICY NEW YORK :),Maria,Manhattan,Hell's Kitchen,Private room,290.0,58.0,1,40,3.0,346
**YOUR HOME AWAY FROM HOME** : UES/66th LG 1 BDRM,R And R,Manhattan,Upper East Side,Entire home/apt,1106.0,221.0,3,203,4.0,260
Entire Duplex In The East Village,Douglas,Manhattan,East Village,Entire home/apt,697.0,139.0,1,0,1.0,0
East Village 1BR with private patio,Lenka,Manhattan,East Village,Entire home/apt,566.0,113.0,3,0,4.0,256
Artful UWS Jr Suite with Balcony Near Central Park,Arthouse Hotel,Manhattan,Upper West Side,Private room,145.0,29.0,1,0,2.0,259
Williamsburg Large Bedroom,Graham,Brooklyn,Williamsburg,Private room,994.0,199.0,1,0,4.0,90
Private room with queen size bed near LGA,Jewel,Queens,East Elmhurst,Private room,1009.0,202.0,2,19,2.0,356
Brand New Spacious 2 Bedroom Apt Near Times Square,Rivka,Manhattan,Hell's Kitchen,Entire home/apt,739.0,148.0,1,3,4.0,52
"One bedroom, spacious in 3 bedrooms 2 baths",Andrea,Queens,Kew Gardens Hills,Private room,591.0,118.0,6,3,4.0,89
East Village 1BR Apt with all the amenities,Cody,Manhattan,East Village,Entire home/apt,1173.0,235.0,2,3,3.0,0
Beautiful Female Twin Room |All inclusive Coliving,Sharedeasy,Brooklyn,Bedford-Stuyvesant,Shared room,346.0,69.0,35,2,2.0,364
Nice beautiful room In the Bronx,Enrique,Bronx,Allerton,Private room,958.0,192.0,1,187,4.0,241
"Spare Room Available.. Bedstuy, 20 mins to City!",Eibhlin,Brooklyn,Bedford-Stuyvesant,Private room,189.0,38.0,30,3,3.0,182
Beachy sun drenched studio in NYC,Patricia,Manhattan,Gramercy,Entire home/apt,273.0,55.0,3,0,5.0,93
Private Bedroom B in Bushwick Minutes from Subways,Ariel,Brooklyn,Bushwick,Private room,531.0,106.0,2,32,5.0,78
æ³•æ‹‰ç››æ­¥è¡Œåœ°é“ç«™8åˆ†é’Ÿå¸¦ç‹¬ç«‹å«ç”Ÿé—´å¥—æˆ¿,Cen,Queens,Flushing,Private room,553.0,111.0,1,37,5.0,0
Charming 1.5 bdrm apt in W'burg - family friendly!,Emily,Brooklyn,Williamsburg,Entire home/apt,892.0,178.0,1,1,4.0,0
Fort Greene bedroom w/private bathroom,Kaitlyn,Brooklyn,Fort Greene,Private room,141.0,28.0,10,0,3.0,124
"Two double beds, New York, Chinatown",Amiee,Manhattan,Two Bridges,Private room,523.0,105.0,1,157,5.0,78
Manhattan room 3 NYC 127 st and convent ave,Eliahu,Manhattan,Harlem,Shared room,640.0,128.0,2,1,4.0,365
Cosy room in the heart of Bushwick,ChloÃ©,Brooklyn,Bushwick,Private room,868.0,174.0,4,1,5.0,7
Cozy Two Bedroom Apartment in the East Village,Benjamin,Manhattan,East Village,Entire home/apt,742.0,148.0,3,0,3.0,231
2BR Apartment in Manhattan - 8m from Times Square,Sean,Manhattan,Hell's Kitchen,Entire home/apt,593.0,119.0,3,10,4.0,206
Home away from Home 2,Stephanie,Manhattan,Harlem,Private room,142.0,28.0,30,22,5.0,243
Centrally Located Fort Greene Apartment!,Stephanie,Brooklyn,Fort Greene,Entire home/apt,397.0,79.0,4,9,4.0,36
Sunny Apartment with Private Roof (East Village),Zachary,Manhattan,East Village,Entire home/apt,788.0,158.0,1,2,2.0,90
"LGA airport Apt. near Manhattan, JFK, Citi Field.",Farhana,Queens,East Elmhurst,Entire home/apt,411.0,82.0,1,34,3.0,166
Brooklyn Best Kept Secrete!,Rain,Brooklyn,Bedford-Stuyvesant,Private room,702.0,140.0,4,0,2.0,179
HUGE Master Bedroom in Remodeled Brownstone.,Josh,Brooklyn,Bedford-Stuyvesant,Private room,291.0,58.0,3,2,1.0,0
Beautiful Spacious 2 Bedroom Apt,Ulysses,Manhattan,Washington Heights,Entire home/apt,1181.0,236.0,2,0,5.0,90
Luminous Modern Apt Share for Young Professionals,Ollie,Brooklyn,Bedford-Stuyvesant,Private room,697.0,139.0,30,41,3.0,245
Private Room in Crown Heights,David,Brooklyn,Crown Heights,Private room,411.0,82.0,2,10,5.0,10
An Authentic Brownstone Experience,Kristie,Brooklyn,Fort Greene,Entire home/apt,91.0,18.0,2,4,5.0,31
Duplex Townhouse in Heart of Williamsburg,Kelly,Brooklyn,Williamsburg,Entire home/apt,454.0,91.0,2,7,2.0,49
Amazing bedroom in South Harlem !,Alexis,Manhattan,Harlem,Private room,751.0,150.0,3,1,1.0,0
Massive 3 bedroom with Patio,Shpresa,Manhattan,Gramercy,Entire home/apt,1108.0,222.0,4,49,4.0,76
Heaven for you(only for guy),Diana,Brooklyn,Gravesend,Shared room,54.0,11.0,7,0,2.0,365
WILLIAMSBURG PRIME LOCATION-AMAZING LIGHT!,Monica,Brooklyn,Williamsburg,Private room,911.0,182.0,182,0,2.0,157
Beautiful three bedroom on Wall Street!,Egon,Manhattan,Financial District,Entire home/apt,747.0,149.0,2,7,2.0,189
Forest Hills-Easy Parking-Easy commute to midtown!,John,Queens,Forest Hills,Entire home/apt,1159.0,232.0,2,9,3.0,0
Beautiful private room by N/W subway in Astoria,Kristin,Queens,Ditmars Steinway,Private room,378.0,76.0,2,0,5.0,0
"Modern and  spacious apt in Kips Bay, NYC!",Kara,Manhattan,Kips Bay,Entire home/apt,705.0,141.0,29,0,4.0,364
Private room for two in Harlem apartment!,Alexandra,Manhattan,Harlem,Private room,621.0,124.0,6,2,3.0,0
Studio 7 : Williamsburg,Jess,Brooklyn,Williamsburg,Entire home/apt,408.0,82.0,3,48,4.0,165
Designer $10M Luxury Home in Prime SoHo !,Luxury Lofts,Manhattan,SoHo,Entire home/apt,180.0,36.0,4,21,4.0,125
COZY BEAUTIFUL HOUSE ! 2 min from the train,Daniela,Brooklyn,Bushwick,Entire home/apt,1173.0,235.0,2,7,5.0,342
Washington Heights homestay,Tiffany,Manhattan,Washington Heights,Private room,296.0,59.0,1,33,3.0,337
Artsy Duplex in Chelsea w/ Terrace,Nauman,Manhattan,Chelsea,Entire home/apt,1162.0,232.0,3,2,3.0,286
Home Sweet Home,Jim,Brooklyn,Bay Ridge,Entire home/apt,451.0,90.0,1,92,5.0,312
"Light Filled Spacious 1BR, with Cat",Brittan,Brooklyn,Bedford-Stuyvesant,Entire home/apt,339.0,68.0,2,9,4.0,117
Private Room in lovely Greenpoint,Dawn,Brooklyn,Greenpoint,Private room,1157.0,231.0,5,35,3.0,285
Rustic Family Getaway w/ Parking--close to JFK,Ricardo,Queens,Richmond Hill,Entire home/apt,184.0,37.0,2,36,2.0,152
Cozy Private Bedroom and Bathroom in Brooklyn,Sarah,Brooklyn,Bedford-Stuyvesant,Private room,1001.0,200.0,3,67,2.0,70
Beautiful 2-bedroom in Williamsburg,Alexandra,Brooklyn,Williamsburg,Entire home/apt,444.0,89.0,1,26,1.0,192
Bedroom for sublet with GREAT VIEW in prime area,John,Manhattan,Stuyvesant Town,Private room,302.0,60.0,14,0,2.0,128
Birth place of Hip hop in the heart of the Bronx.,Schomberg,Bronx,Hunts Point,Private room,432.0,86.0,2,0,3.0,0
"Sunny, renovated apartment close to everything!",Carole,Manhattan,Lower East Side,Private room,636.0,127.0,4,12,2.0,241
"Modern, Cozy Studio Apartment",Mike,Staten Island,Bull's Head,Entire home/apt,548.0,110.0,30,31,4.0,0
Brand new 2 BEDROOMS BROOKLYN,Maria Y Diego,Brooklyn,Greenpoint,Entire home/apt,136.0,27.0,4,0,5.0,355
Classic Downtown Loft,Erin,Manhattan,Chinatown,Entire home/apt,688.0,138.0,2,43,1.0,66
â˜¯ Ur Cool & Cozy Chambers â˜¯,Ella,Manhattan,Washington Heights,Private room,978.0,196.0,1,12,4.0,0
@ Amazing Midtown Furnished  Apartment @,Kyle,Manhattan,Kips Bay,Entire home/apt,715.0,143.0,30,0,4.0,0
"Lovely pied-Ã -terre, in an historic building",Miller,Brooklyn,Bedford-Stuyvesant,Entire home/apt,779.0,156.0,3,305,3.0,175
Matilda's House,Lorna,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,179.0,36.0,3,10,5.0,187
Renovated Modern Home Ideal for a FAMILY!,Richard,Brooklyn,Windsor Terrace,Entire home/apt,476.0,95.0,3,8,1.0,0
Cozy Garden View Apartment!  Perfect for Families!,Rick,Brooklyn,Bedford-Stuyvesant,Entire home/apt,274.0,55.0,5,60,2.0,143
Unique 2 bedroom apt in the center of Williamsburg,Diego,Brooklyn,Williamsburg,Entire home/apt,1174.0,235.0,30,131,3.0,217
Comfy NYC Studio 15 Min. To Midtown,Terrence,Manhattan,Harlem,Entire home/apt,450.0,90.0,2,198,4.0,110
Cozy Upper East Side Studio,Ross,Manhattan,Upper East Side,Entire home/apt,1167.0,233.0,2,32,4.0,194
Upper Duplex in Brooklyn Brownstone,James,Brooklyn,Bedford-Stuyvesant,Entire home/apt,1133.0,227.0,7,7,5.0,303
"Clean, Private BDR and BATHROOM in LES/Chinatown!",Ravi,Manhattan,Lower East Side,Private room,803.0,161.0,3,14,5.0,36
Large room 2blks from central Park,Bethania,Manhattan,Harlem,Private room,427.0,85.0,10,6,1.0,90
Best Space near Manhattan!,Lu,Manhattan,Roosevelt Island,Entire home/apt,975.0,195.0,4,1,2.0,0
Perfectly Located Private Room By Central Park,Isabel,Manhattan,Upper West Side,Private room,410.0,82.0,2,25,4.0,140
Amazing Space...Awesome Location...Private Room,Mike,Brooklyn,Prospect Heights,Private room,799.0,160.0,3,3,4.0,0
Garden Suite at Incentra Village Guest House,Incentra Village Guest House,Manhattan,West Village,Hotel room,1063.0,213.0,1,3,5.0,312
Upstate Manhattan,Elaina,Manhattan,Inwood,Private room,431.0,86.0,1,1,2.0,0
Garden level apartment in Bed-Stuy,Jordan,Brooklyn,Bedford-Stuyvesant,Entire home/apt,227.0,45.0,2,94,5.0,365
Beautiful studio in Gramercy Park,Josh,Manhattan,Kips Bay,Entire home/apt,573.0,115.0,4,0,4.0,240
3BR/2 bath/Duplex+YARD/Near Columbia/City College,Migdalia,Manhattan,Harlem,Entire home/apt,251.0,50.0,4,69,5.0,110
PRIVATE ROOM IN COMFORTABLE APT.,Manuel,Manhattan,Inwood,Private room,688.0,138.0,3,16,2.0,0
1BR in a 3BR Apt by Columbia,Joon,Manhattan,Upper West Side,Private room,212.0,42.0,1,0,4.0,90
Cozy South Williamsburg,Frankie,Brooklyn,Williamsburg,Private room,1114.0,223.0,5,2,5.0,0
Irving place -Elevator  Doorman 1 bed - 5152,Jeremy & Laura,Manhattan,Gramercy,Entire home/apt,1152.0,230.0,30,1,4.0,248
"NEW Listing! Sunny, spacious, Park Slope apt.",Ali & Guillaume,Brooklyn,Park Slope,Entire home/apt,460.0,92.0,5,8,3.0,0
Wingate Manhattan Midtown (#1),Celeste,Manhattan,Midtown,Private room,653.0,131.0,1,0,4.0,0
Upper West Side 2 Bedroom,Eliana,Manhattan,Upper West Side,Entire home/apt,522.0,104.0,2,2,4.0,0
BEAUTIFUL&BRIGHT 2bd/2ba(E Village),Zac,Manhattan,East Village,Entire home/apt,853.0,171.0,4,2,5.0,0
Good locationâ™ª 2min from station! 5Lines u can use,Hiroki,Queens,Woodside,Private room,731.0,146.0,30,2,3.0,30
LUXURY 2BR 2BATH IN HELL'S KITCHEN-DOORMAN/GYM,Pranjal,Manhattan,Hell's Kitchen,Entire home/apt,198.0,40.0,30,0,3.0,281
Furnished Brooklyn Room w/ AC Near Train Station,Kaz,Brooklyn,Bushwick,Private room,465.0,93.0,30,1,3.0,338
"LUXURY 2ND FL,4BR/2 FUL BTH,SLEEP 8+,15MIN-JFK/LGA",Az,Queens,Jamaica Hills,Entire home/apt,674.0,135.0,2,4,2.0,124
Modern Apartment in Williamsburg w/ backyard!,Patty,Brooklyn,Williamsburg,Entire home/apt,80.0,16.0,2,3,3.0,0
Cute and roomy Bushwick apartment!,Dorothy,Brooklyn,Bushwick,Entire home/apt,1092.0,218.0,2,1,3.0,186
Bright and Beautiful Top Floor Two Bedrooms,Frankie,Brooklyn,Carroll Gardens,Entire home/apt,1027.0,205.0,30,18,2.0,3
Beautifully Designed Island Style Garden Suite,Malene,Brooklyn,Bedford-Stuyvesant,Entire home/apt,746.0,149.0,4,92,4.0,30
Astoria Hideaway,Rachel,Queens,Ditmars Steinway,Private room,519.0,104.0,1,0,3.0,89
"Sun-drenched, artsy modernist 1 BDRM duplex",Kellan,Brooklyn,Williamsburg,Entire home/apt,658.0,132.0,3,10,5.0,90
NYC Entire Aptâ€¢CozyAstoria/5min-City/5min-LGA,Gina,Queens,Ditmars Steinway,Entire home/apt,220.0,44.0,3,16,5.0,284
Charming Studio Near Central Park!,Lisa,Manhattan,Upper West Side,Entire home/apt,966.0,193.0,7,1,3.0,318
"Safe and Sweet, Bright East Harlem",Larry,Manhattan,East Harlem,Private room,1028.0,206.0,1,17,3.0,1
37th Floor Apt w/ Views in Prime Brooklyn Location,Puja,Brooklyn,Fort Greene,Entire home/apt,177.0,35.0,2,2,2.0,11
Entire 2BR APT (not a railroad),Amanda,Brooklyn,Williamsburg,Entire home/apt,72.0,14.0,2,218,5.0,32
Amazing 3BR/2Bath Apt in the coolest Brooklyn Spot,Sahar,Brooklyn,Williamsburg,Entire home/apt,627.0,125.0,3,32,4.0,78
Furnished Luxury 1BR apt. in the heart of NYC!,Kara,Manhattan,Chelsea,Entire home/apt,654.0,131.0,30,0,1.0,172
Spacious Studio in E Flatbush,Vanessa,Brooklyn,East Flatbush,Entire home/apt,827.0,165.0,1,117,3.0,60
Spoon's Mom's House,Odehyah,Brooklyn,Bedford-Stuyvesant,Private room,370.0,74.0,2,0,2.0,90
"SUNNY, Cozy Private Room in Bushwick!",Catherine,Brooklyn,Bushwick,Private room,570.0,114.0,1,1,3.0,0
Homy Abode,Janet,Queens,Rosedale,Entire home/apt,1082.0,216.0,2,14,3.0,105
Vickyå®¢æ ˆ1,Vicky,Queens,Flushing,Private room,553.0,111.0,1,38,5.0,0
Cozy Bohemian Home!,Stephanie,Queens,Ridgewood,Private room,1169.0,234.0,3,5,5.0,0
Beautiful communal house Bushwick,Kyla,Brooklyn,Bushwick,Private room,707.0,141.0,2,77,4.0,167
"Cozy and Simple Studio, UES NYC",Diana Mia,Manhattan,Upper East Side,Entire home/apt,488.0,98.0,5,54,2.0,90
"Luxury Condo, High Fl, River Views, Balcony, Food",Laurence,Manhattan,Murray Hill,Private room,650.0,130.0,1,23,5.0,363
"Cozy,Shared Place in Heart of Manhattan WEST 4",Ahmet,Manhattan,Hell's Kitchen,Shared room,1172.0,234.0,1,2,4.0,365
Bright 1 Bed in the best Manhattan Neighborhood,Layth,Manhattan,Chinatown,Entire home/apt,127.0,25.0,30,4,4.0,0
Simple clean room,Rani,Brooklyn,Crown Heights,Private room,453.0,91.0,1,22,5.0,67
Cozy apartment in the heart of South Harlem,Jen,Manhattan,Harlem,Entire home/apt,718.0,144.0,2,3,4.0,1
Light Filled 1BDRM in Clinton Hill,Lauren,Brooklyn,Bedford-Stuyvesant,Entire home/apt,545.0,109.0,14,0,2.0,0
